Автор отзыва;Рейтинг (звёзды);Заголовок;Текст отзыва;Дата публикации;Версия приложения;Отредактировано
Hazbin hotel :3;5 ⭐;Great;I really like Duolingo is teaching me new words which I could connect with my grandma cause she only speaks Spanish and since Duolingo is teaching me how to speak Spanish, I feel more connected with my grandma....;2026-06-13;7.126.1;Нет
Lily_23105;2 ⭐;Used to be good;I’m not sure what happened to this app. I used a few years back and it was helpful. Now it’s a money grab like every other app. Can’t even get through 2 lessons of practically the same info before you run out of “energy”. You either pay for more or pay for an upgraded plan. It’s a shame that I can’t even attempt to learn a new language without being berated for more money....;2026-06-13;7.126.1;Нет
can i just post this please;1 ⭐;App sucks, use anything else tbh;I’ve been on this app for way too long (5+ years) cause I’m unfortunately tied to my streak at this point. However, in using this app, it’s gone downhill. So many adds, I feel like I’m constantly being bombarded and it just sucks. Feels like a money grab. Also, recently the app has been glitching hard, I’ll be almost done with a lesson and the progress bar will stop tracking so I loose the lesson and run out of lives and it counts for nothing. Super annoying tbh. I haven’t learned how to say any...;2026-06-13;7.126.1;Нет
Ellie56942;5 ⭐;Very fun;The green bird is very encouraging...;2026-06-13;7.126.1;Нет
panza gato;1 ⭐;Overly gamified;Mistakes are an important part of learning. The app is overly gamified to penalize mistakes and disincentivize taking learning risks....;2026-06-13;7.126.1;Нет
Coolmann123847;3 ⭐;Oscar sucks at chess;I am a critic on language learning apps and I think Oscar goes to easy. Make him have different levels of difficulty...;2026-06-13;7.126.1;Нет
PONYLOVER29633;5 ⭐;Best language app ever!;This app is so great for learning. It is a fun way to learn languages, chess and music. It is very affective and I 100% recommend it. If I could give this app 100 stars, I would!...;2026-06-13;7.126.1;Нет
67ruler;1 ⭐;Goals;I can not figer out how to change my goal...;2026-06-13;7.126.1;Нет
Love,Duo.;3 ⭐;Duo;I love Duolingo!...;2026-06-13;7.126.1;Нет
Crowned goat21;5 ⭐;Best app ever;Best language app ever definitely would recommend...;2026-06-13;7.126.1;Нет
🫠🫠🫠🫤🫠;5 ⭐;47 day streak;Love it 47 day streak...;2026-06-13;7.126.1;Нет
"Mar!!:!;₽!)";5 ⭐;Приложение супер!;Отличное приложение, наконец-то начала учить Английский, очень много лет откладывала, а здесь без напрягла занимаюсь понемногу. Прям рекомендую!!!...;2026-06-13;7.126.1;Нет
IT_skills_Granny;5 ⭐;Best choice for free learning;Never paid a dime, have been practicing daily for the months and can understand others sometimes as well as conversing slightly. I’m confident that in a year I will be very fluent with this language ( Spanish ) oh I sometimes dabble in the chess lessons....;2026-06-13;7.126.1;Нет
Bella Churchill;5 ⭐;Amazing app;Duolingo has really helped me learn my German and it’s a really great app to help learn a new language. It could also help you with math. You can teach you how to play chess and everything and I think it’s a really cool app to use....;2026-06-13;7.126.1;Нет
Funnyfox1010;1 ⭐;Buff Oscar is scary;Buff Oscar is scary...;2026-06-13;7.126.1;Нет
RACCOONS!;3 ⭐;So Annoying!;The website is great and all for learning languages and stuff, but it won’t let me switch my plans!...;2026-06-13;7.126.1;Нет
Animal help;5 ⭐;This app is…;"Just so you know I put five star review only for you to read this. 
This is one of the worst apps ever created because you have to buy unlimited battery and it is over one hundred fifty dollars just to get the individual pack and it you run out of gems or the battery then you have to wait a few days for it to fill up again. And go into your other apps and locks them down and you can not unlock them unless you learn first and by that point you might be out of battery or gems!!!  
So this is not a...";2026-06-13;7.126.1;Нет
Cupcake2979;2 ⭐;Terrible interuption;Innapropriate adds and I did this for a year and learned nothing. It interrupts to much. There are too many adds, and too many interruptions....;2026-06-13;7.126.1;Нет
Dog 🐶 girlie;5 ⭐;Great app;OK, let me start off  by saying Duolingo is so fun I personally love how you could have a profile and get followers and follow other people. The profile is safe because you cannot message anybody. The only reason why they do the whole profile thing is so that you could. Do strikes with other profiles . I have learned so much from Duolingo coming to  Duolingo. I knew absolutely nothing about chess and now I am like the best chest player.😅 I have absolutely nothing bad to say about Duolingo I love...;2026-06-13;7.126.1;Нет
Shajuoo7;5 ⭐;Easy peasy;Best app to learn languages, learn french and be romantic...;2026-06-13;7.126.1;Нет
Jackal.s;5 ⭐;Awesome!!;I already feel so good at French all because I’m Duolingo. The only bad thing is that I can’t pay for super Duolingo because I’m not allowed to and that battery runs out quick so I don’t get to play that much but otherwise is 10 out of 10 really awesome thank you so much! ❤️❤️❤️...;2026-06-13;7.126.1;Нет
Brain ninja zombie;4 ⭐;Duolingo, good;Perfect in five days of learn so much Spanish and when I started it, I knew absolutely nothing. All I knew was Gracias and see. I learned so much in five days and if you get a super package, you can tons and tons of Spanish in your brain....;2026-06-13;7.126.1;Нет
0.Onyx.Rose.0;3 ⭐;Fighting With The App;"I’m losing points. Today I only got one round in during the card frenzy challenge where you can get the most points. 
Also, the Italian lessons are stuck on the second level, where I can’t pass in spite of finishing the spot and got legend more than once. I’m getting credited, but it won’t turn gold and I can’t move forward. It doesn’t help that the phone struggles and overheats when timing challenge happens....";2026-06-13;7.126.1;Нет
M.Shaw;5 ⭐;Duo , not Poly;I love Duolingo, I’ve always given it five stars in all my years here using the Free Version. I’m taking the time to write a review because there are now Polymarket Ads on Duolingo. Polymarket is one of the “bet on anything” insider-trader apps run by the Trump family to cash in on insider trading, in blatant breaking of what Trump’s always called, quote, “the fake emoluments clause.” If you read the Constitution, you will find the Emoluments Clause against making $ off the office of President i...;2026-06-13;7.126.1;Нет
Leo9378;4 ⭐;4 stars;Duolingo is really good for learning but the energy thing is the worst it does the opposite of reward you because even when you get the answer right it still takes energy away from you. They should add back the hearts because it’s 10 times better....;2026-06-13;7.126.1;Нет
Navi 17;1 ⭐;Very bad;Every time I wake up it rings and bothers me also a few days ago I woke up at 3am and it said “Duolingo is here” and haunted me for the rest of the night...;2026-06-13;7.126.1;Нет
